,AdmArea,District,Address,PropertyType,ObjectArea,Note,global_id,coordinates
1061,Южный административный округ,Москворечье-Сабурово,"город Москва, улица Москворечье, дом 51, корпус 2",помещение,85.8,-,1016551267,"[37.6693615907457, 55.6441149431479]"
1062,Южный административный округ,Даниловский,"город Москва, 1-й Павелецкий проезд, дом 1/42, корпус 2",помещение,122.3,-,1016551295,"[37.6444455947005, 55.7176085145432]"
1063,Юго-Восточный административный округ,Некрасовка,"город Москва, Рождественская улица, дом 14",помещение,48.9,-,1016551315,"[37.9188317114893, 55.7028469664148]"
1064,Юго-Восточный административный округ,Печатники,"город Москва, улица Гурьянова, дом 19, корпус 2",помещение,76.7,-,1016551350,"[37.7176321313957, 55.6881080131409]"
1065,Юго-Восточный административный округ,Некрасовка,"город Москва, Рождественская улица, дом 14",помещение,134.1,-,1016551351,"[37.9188317114893, 55.7028469664148]"
1066,Юго-Восточный административный округ,Некрасовка,"город Москва, 2-я Вольская улица, дом 1, корпус 1",помещение,108.3,-,1016551378,"[37.9187038336588, 55.6872642033885]"
1067,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, улица Гоголя, дом 11А",помещение,160.6,-,1016551393,"[37.1715312192619, 55.9875573050965]"
1068,Северный административный округ,Тимирязевский,"город Москва, 3-й Нижнелихоборский проезд, дом 8А",помещение,24.6,-,1016551398,"[37.5660704501731, 55.8449941284984]"
1069,Северо-Восточный административный округ,Северное Медведково,"город Москва, улица Молодцова, дом 6",помещение,32.7,-,1016551509,"[37.6396803394506, 55.8788633059633]"
1070,Северо-Восточный административный округ,Алексеевский,"город Москва, 1-й Рижский переулок, дом 3",помещение,27.0,-,1016551537,"[37.6564796183197, 55.8114204947636]"
1071,Северо-Восточный административный округ,Лосиноостровский,"город Москва, Янтарный проезд, дом 35/7",помещение,105.9,-,1016551555,"[37.6904666028737, 55.873883983076]"
1072,Центральный административный округ,Таганский,"город Москва, Большая Калитниковская улица, дом 38",помещение,184.3,,1047623183,"[37.686187801679, 55.7361629006706]"
1073,Центральный административный округ,Пресненский,"город Москва, Шелепихинская набережная, дом 4, строение 2",помещение,76.8,,1047431371,"[37.5235588381599, 55.7502515364406]"
1074,Центральный административный округ,Пресненский,"город Москва, Шмитовский проезд, дом 41",помещение,109.6,,1047431372,"[37.521864056037, 55.7540490867302]"
1075,Северо-Западный административный округ,Покровское-Стрешнево,"город Москва, Волоколамский проезд, дом 4, корпус 2",помещение,40.0,,1047432729,"[37.4339021944501, 55.8256378524369]"
1076,Северо-Западный административный округ,Покровское-Стрешнево,"город Москва, улица Габричевского, дом 8",помещение,247.4,,1047623209,"[37.4591827175561, 55.8158448443096]"
1077,Северо-Западный административный округ,Северное Тушино,"город Москва, улица Вилиса Лациса, дом 5, корпус 1",помещение,19.3,,1047623211,"[37.4307302363815, 55.8633693193079]"
1078,Северо-Западный административный округ,Хорошево-Мневники,"город Москва, улица Народного Ополчения, дом 12, корпус 2",помещение,162.6,,1047623212,"[37.4777366974012, 55.7723654104766]"
1079,Северо-Западный административный округ,Хорошево-Мневники,"город Москва, Живописная улица, дом 4, корпус 1",помещение,86.4,,1047432419,"[37.4560890197673, 55.7812548405388]"
1080,Северо-Западный административный округ,Южное Тушино,"город Москва, Походный проезд, дом 9, корпус 1",помещение,119.3,,1047432420,"[37.4160653172866, 55.8383974822705]"
1081,Северо-Западный административный округ,Южное Тушино,"город Москва, Окружная улица, дом 20",помещение,69.2,,1047431381,"[37.4017295132421, 55.8464926604027]"
1082,Северо-Западный административный округ,Южное Тушино,"город Москва, Окружная улица, дом 20",помещение,85.9,,1047434331,"[37.4017295132421, 55.8464926604027]"
1083,Северо-Западный административный округ,Южное Тушино,"город Москва, Сходненская улица, дом 13",помещение,179.6,,1047431383,"[37.438187879868, 55.8406116497372]"
1084,Северо-Западный административный округ,Южное Тушино,"город Москва, улица Фабрициуса, дом 46",помещение,66.3,,1047623326,"[37.4288711921945, 55.8446290948245]"
1085,Северо-Западный административный округ,Южное Тушино,"город Москва, улица Фабрициуса, дом 46",помещение,149.4,,1047623460,"[37.4288711921945, 55.8446290948245]"
1086,Северо-Западный административный округ,Покровское-Стрешнево,"город Москва, Волоколамский проезд, дом 1",помещение,246.2,,1047432427,"[37.4315458533766, 55.8258473332268]"
1087,Северо-Западный административный округ,Щукино,"город Москва, улица Маршала Рыбалко, дом 11",помещение,280.3,,1047623512,"[37.4890474689756, 55.7977662939333]"
1088,Северный административный округ,Головинский,"город Москва, Онежская улица, дом 1/2",помещение,163.9,,1047431389,"[37.5212738596028, 55.8444624703443]"
1089,Северный административный округ,Головинский,"город Москва, Онежская улица, дом 1/2",помещение,197.8,,1047432430,"[37.5212738596028, 55.8444624703443]"
1090,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Брусилова, дом 33, корпус 1",помещение,235.1,,1047623554,"[37.5954478943262, 55.5013054169643]"
1091,Юго-Западный административный округ,Котловка,"город Москва, Нагорная улица, дом 24, корпус 9",помещение,69.8,,1047434370,"[37.5999101292414, 55.6802557569617]"
1092,Юго-Западный административный округ,Коньково,"город Москва, улица Академика Капицы, дом 22",помещение,23.9,,1047623562,"[37.5241917226333, 55.6258860879256]"
1093,Западный административный округ,Кунцево,"город Москва, Рублёвское шоссе, дом 97, корпус 2",помещение,153.3,,1047431745,"[37.4225971317742, 55.7415967161579]"
1094,Юго-Западный административный округ,Южное Бутово,"город Москва, Изюмская улица, дом 47, корпус 5",помещение,117.0,,1047431747,"[37.5696776753291, 55.5467813168317]"
1095,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Маршала Савицкого, дом 18, корпус 2",помещение,247.1,,1047623575,"[37.5890102906413, 55.5030643109179]"
1096,Юго-Западный административный округ,Ломоносовский,"город Москва, улица Крупской, дом 4, корпус 1",помещение,55.2,,1047623577,"[37.5314288513085, 55.6828343883135]"
1097,Юго-Западный административный округ,Южное Бутово,"город Москва, Южнобутовская улица, дом 125",помещение,46.3,,1047434992,"[37.5144557382893, 55.5325492930982]"
1098,Юго-Западный административный округ,Южное Бутово,"город Москва, улица Захарьинские Дворики, дом 1, корпус 2",помещение,62.8,,1047623578,"[37.5761310549757, 55.5028768592501]"
1099,Восточный административный округ,Измайлово,"город Москва, Измайловский бульвар, дом 38",помещение,104.1,,1047434686,"[37.8008188769814, 55.7962874574438]"
1100,Восточный административный округ,Измайлово,"город Москва, Нижняя Первомайская улица, дом 12А",помещение,57.4,,1047431405,"[37.7954360625212, 55.7905405050726]"
1101,Восточный административный округ,Измайлово,"город Москва, Нижняя Первомайская улица, дом 12А",помещение,90.1,,1047431406,"[37.7954360625212, 55.7905405050726]"
1102,Восточный административный округ,Сокольники,"город Москва, Охотничья улица, дом 10/12, корпус 3",помещение,112.5,,1047431407,"[37.6851488622597, 55.7962151427608]"
1103,Восточный административный округ,Новокосино,"город Москва, Салтыковская улица, дом 5, корпус 2",помещение,46.9,,1047432791,"[37.8591295221992, 55.732544182122]"
1104,Восточный административный округ,Новокосино,"город Москва, Суздальская улица, дом 40, корпус 2",помещение,101.0,,1047431409,"[37.8750311849122, 55.7459226302606]"
1105,Восточный административный округ,Перово,"город Москва, Братская улица, дом 1/45",помещение,155.2,,1047432449,"[37.781777847793, 55.7475398202018]"
1106,Восточный административный округ,Сокольники,"город Москва, 3-я Рыбинская улица, дом 19",помещение,57.5,,1047431411,"[37.6616666386346, 55.7905132030517]"
1107,Восточный административный округ,Сокольники,"город Москва, 3-я Рыбинская улица, дом 19",помещение,13.7,,1047432451,"[37.6616666386346, 55.7905132030517]"
1108,Восточный административный округ,Перово,"город Москва, Федеративный проспект, дом 9, корпус 2",помещение,125.4,,1047432453,"[37.8021183687308, 55.757721082348]"
1109,Зеленоградский административный округ,Старое Крюково,"город Москва, город Зеленоград, корпус 841",помещение,69.0,,1047623712,"[37.1820675973037, 55.9776828740879]"
1110,Зеленоградский административный округ,Савелки,"город Москва, город Зеленоград, корпус 347",помещение,165.3,,1047623772,"[37.2216471067518, 55.9954199308114]"
1111,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, улица Гоголя, дом 11А",помещение,29.5,,1047623864,"[37.1715312192619, 55.9875573050965]"
